"lead_id","business_name","location","sector","business_type","phone","public_email","email_source_url","main_online_presence_url","website_status","lead_score","suitable_website_feature","research_date","status","notes"
"f18e469be22b","Noble Service and Maintenance (Plumbing & Electrical)","2 Burnwood DriveOpen 24 hours","plumbing","Unclear","07484 821307","info@nobleserviceandmaintenance.co.uk","","https://www.google.com/maps/place/Noble+Service+and+Maintenance+%28Plumbing+%26+Electrical%29/data=!4m7!3m6!1s0x24647796074fb7c1:0xb52d2ffe9db61d5f!8m2!3d55.862642!4d-3.934725!16s%2Fg%2F11x0g133w2!19sChIJwbdPB5Z3ZCQRXx22nf4vLbU?authuser=0&hl=en&rclk=1","No website found","6","contact form + service area","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"6414cc6c4c04","Denham Plumbing and Heating Ltd","5?pm","plumbing","Limited company","07740 105152","hello@denhamplumbing.co.uk","","https://www.google.com/maps/place/Denham+Plumbing+and+Heating+Ltd/data=!4m7!3m6!1s0x2fbcbb719c674e75:0xb9b34474415482a9!8m2!3d57.7470222!4d-4.6873058!16s%2Fg%2F11xh98n6wx!19sChIJdU5nnHG7vC8RqYJUQXREs7k?authuser=0&hl=en&rclk=1","No website found","6","contact form + service area","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"2e1173bbe199","Hair Inspirations","2 David's Loan, Bainsford, Falkirk FK2 7RG","hairdressing","Unclear","01324 610933","hello@hairinspirations.co.uk","","https://www.google.com/maps/place/Hair+Inspirations/data=!4m7!3m6!1s0x48887bcd86e86be9:0x5096d2ba2471f0d5!8m2!3d56.0141233!4d-3.7891915!16s%2Fg%2F1x6q1bgj!19sChIJ6Wvohs17iEgR1fBxJLrSllA?authuser=0&hl=en&rclk=1","No website found","6","online booking + gallery","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"77fdb564afbd","Smiths Hair & Beauty","41 Main St, Bonnybridge FK4 1AF","hairdressing","Unclear","01324 812956","info@smithshairandbeauty.co.uk","","https://www.google.com/maps/place/Smiths+Hair+%26+Beauty/data=!4m7!3m6!1s0x48887ad391d3ab5d:0xe04e981de6492117!8m2!3d56.0022744!4d-3.8838655!16s%2Fg%2F1tg6k3vl!19sChIJXavTkdN6iEgRFyFJ5h2YTuA?authuser=0&hl=en&rclk=1","No website found","6","online booking + gallery","2026-06-11","DRAFT_CREATED","Owner: Aimee McPheat - email template created"
"8c1d9c391f58","The Hair Studio","108 Main St, Larbert FK5 3AS","hairdressing","Unclear","01324 558487","hello@thehairstudio-larbert.co.uk","","https://www.google.com/maps/place/The+Hair+Studio/data=!4m7!3m6!1s0x48887ba7dfe35f23:0x9bfb2d1a41e37708!8m2!3d56.0213913!4d-3.8304725!16s%2Fg%2F1ts_65gk!19sChIJI1_j36d7iEgRCHfjQRot-5s?authuser=0&hl=en&rclk=1","No website found","6","online booking + gallery","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"dc7e8cd0e446","Sanctuary Hair and Beauty","4 Fleming Court, Denny FK6 5HB","hairdressing","Unclear","01324 228099","hello@sanctuarydenny.co.uk","","https://www.google.com/maps/place/Sanctuary+Hair+and+Beauty/data=!4m7!3m6!1s0x488864ddcbe93dff:0x17164df2699d7819!8m2!3d56.0142219!4d-3.9167609!16s%2Fg%2F1ts2zvyg!19sChIJ_z3py91kiEgRGXidafJNFhc?authuser=0&hl=en&rclk=1","No website found","6","online booking + gallery","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"e0daf808ea56","Maid For It - Professional Cleaning Services","20 The Wynd, Cumbernauld, Glasgow G67 2SU","cleaning","Unclear","07856 729829","hello@maidforit.co.uk","","https://www.google.com/maps/place/Maid+For+It+-+Professional+Cleaning+Services/data=!4m7!3m6!1s0x4888654cdb8a3bd7:0x3db315eb669bbca7!8m2!3d55.9629628!4d-3.975016!16s%2Fg%2F11fgm43tpg!19sChIJ1zuK20xliEgRp7ybZusVsz0?authuser=0&hl=en&rclk=1","No website found","6","quote request form","2026-06-11","DRAFT_CREATED","Owner: Lynn - email template created"
"03c1a7b68187","Headswood Garage","Whitehill Farm, Denny FK6 5NA","automotive","Unclear","01324 841636","gordon@headswood.com","","https://www.google.com/maps/place/Headswood+Garage/data=!4m7!3m6!1s0x48886502461cf2cb:0x45e4b05fb319c777!8m2!3d56.0071702!4d-3.9294865!16s%2Fg%2F1td001kv!19sChIJy_IcRgJliEgRd8cZs1-w5EU?authuser=0&hl=en&rclk=1","No website found","6","booking + services list","2026-06-11","DRAFT_CREATED","Draft created - verified email address"
"34c7342982d4","Wellstand Garage (MacFarlane Motors)","151 Stirling St, Denny FK6 6JD","automotive","Unclear","01324 822292","hello@wellstandgarage.co.uk","","https://www.google.com/maps/place/Wellstand+Garage+%28MacFarlane+Motors%29/data=!4m7!3m6!1s0x488864c6ac334443:0x5decfd722f7a0ac8!8m2!3d56.0245081!4d-3.9129101!16s%2Fg%2F1td1_vks!19sChIJQ0QzrMZkiEgRyAp6L3L97F0?authuser=0&hl=en&rclk=1","No website found","6","booking + services list","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
"d6bb8514acca","Penman's Garage","9 Seabegs Rd, Bonnybridge FK4 2BP","automotive","Unclear","07505 220879","hello@penmansgaragebonnybridge.co.uk","","https://www.google.com/maps/place/Penman%27s+Garage/data=!4m7!3m6!1s0x48887ad2b9c9e271:0x23fac9b8f6755cf3!8m2!3d55.998492!4d-3.8871499!16s%2Fg%2F11dybg90yh!19sChIJceLJudJ6iEgR81x19rjJ-iM?authuser=0&hl=en&rclk=1","No website found","6","booking + services list","2026-06-11","DRAFT_CREATED","Email template created - verify before sending"
