lead_id,business_name,public_email,draft_created_date,email_sent_date,reply_status,status
aba350fc50e6,Snoopies dog grooming and home boarding falkirk,brionywheeler@hotmail.co.uk,2026-06-10,,,draft_created
a07a2c74a07d,The Groom Studio Cumbernauld,thedogstudiocumbernauld@gmail.com,2026-06-10,,,draft_created
dw001a3f9c21,Dog Grooming By Zoe,zoejohnson18@hotmail.com,2026-06-11,,,draft_created
dw002b4e8d32,SouthPaw Dog Walking,Southpawdogwalks@gmail.com,2026-06-11,,,draft_created
dw003c5f7e43,The Pet Assistant Falkirk,margaret-frances-quinn@hotmail.co.uk,2026-06-11,,,draft_created
dw004d6a8f54,North Walks,Leahnorth1990@gmail.com,2026-06-11,,,draft_created
dw005e7b9065,Furbuddy Pet Sitter Falkirk,furbuddypetsitter@hotmail.com,2026-06-11,,,draft_created
dw006f8c0176,Playful Paws Petcare,playfulpawspetcare13@yahoo.co.uk,2026-06-11,,,draft_created
dw00709d1287,Dog Walking by PRWI,bathgatedogwalking@gmail.com,2026-06-11,,,draft_created
dw0081ae2398,Carolyn's Crufts,carlydal57@gmail.com,2026-06-11,,,draft_created
dw0092bf34a9,Furry Faces Fife,georgiemuir@hotmail.com,2026-06-11,,,draft_created
dw010a3c45ba,Clarty Pawz,clartypawz@outlook.com,2026-06-11,,,draft_created
dw011b4d56cb,Dusty's Dog Walking,julienne@ntlworld.com,2026-06-11,,,draft_created
dw012c5e67dc,Lors Dog Walking,lorraine.pearson@icloud.com,2026-06-11,,,draft_created
dw013d6f78ed,Tails and Treks,tailsandtreksdogs@gmail.com,2026-06-11,,,draft_created
dw014e7089fe,Crew Cuts dog grooming,Crew.cuts21@gmail.com,2026-06-11,,,draft_created
dw015f819a0f,Muddy Paws,kristina_baldwin@hotmail.com,2026-06-11,,,draft_created
dw016092ab10,Drumonagh Labradors,walksandwishes@hotmail.com,2026-06-11,,,draft_created
dw0171a3bc21,PetTrekz,kezmcinnes@hotmail.com,2026-06-11,,,draft_created
dw0182b4cd32,FUNNYBONES,funnybones444@gmail.com,2026-06-11,,,draft_created
dw0193c5de43,Saggy Tails,Elizabeththomson40@gmail.com,2026-06-11,,,draft_created
dw0204d6ef54,Take the Lead,joanne.duggan1@yahoo.com,2026-06-11,,,draft_created
dw0215e7f065,Treks and Tails,treks_tails@yahoo.com,2026-06-11,,,draft_created
dw0226f80176,A.T. Dog Walking,atdogwalking@yahoo.com,2026-06-11,,,draft_created
dw02370a1287,4Paws Dog Walking,petsupplies4paws@gmail.com,2026-06-11,,,draft_created
dw02481a2398,Walkies Galore,stromelodge@talktalk.net,2026-06-11,,,draft_created
dw025092b34a,Happy Tails,happy-tails16@outlook.com,2026-06-11,,,draft_created
dw0260a3c45b,All About Dogs Renfrew,broadloan@hotmail.com,2026-06-11,,,draft_created
dw027b4d56cb,Mucky Pups,beth155williams@hotmail.com,2026-06-11,,,draft_created
dw028c5e67dc,Rainbow Pet Project,niinax@live.co.uk,2026-06-11,,,draft_created
da029e3f4b1c,Walkies Nairn,walkiesnairn@outlook.com,2026-06-11,,,draft_created
eb13af504c2d,Pets Care Ayrshire,pets_care@hotmail.com,2026-06-11,,,draft_created
